period,daten,open_BTC_USD,volume_BTC_USD,open__GSPC,volume__GSPC,open__IXIC,volume__IXIC,open_JPM,volume_JPM,open_BAC,volume_BAC,open_WFC,volume_WFC,open_C,volume_C,open_GS,volume_GS,open_MS,volume_MS,open_USB,volume_USB,open_PNC,volume_PNC,open_TFC,volume_TFC,open_COF,volume_COF,open_FITB,volume_FITB,open_KEY,volume_KEY,open_RF,volume_RF,open_HBAN,volume_HBAN,open_MTB,volume_MTB,open_DFS,volume_DFS,open_FRC,volume_FRC,open_SIVB,volume_SIVB,open_ZION,volume_ZION,open_ALLY,volume_ALLY,month,day,banks_crisis,l_BTC,l_SP500,l_NQ,l_BTC_sh,l_SP500_sh,l_NQ_sh,id,av_banks,l_av_banks,l_av_banks_sh
01jan2023,01jan2023,16547.914063,9244361700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,9.714015,,,,,,1,,,
02jan2023,02jan2023,16625.509766,12097775227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,9.7186937,,,.0046787262,,,2,,,
03jan2023,03jan2023,16688.847656,13903079207,3853.290039,3959140000,10562.05957,4780650000,135.240005,11054800,33.23,35221500,41.610001,15944300,45.75,19564000,345.5,1589700,85.639999,5108900,44.200001,12795900,159.649994,1650600,43.419998,7269700,92.660004,2619400,33.189999,5347800,17.629999,12443700,21.77,7741300,14.29,13366800,145,874400,98.80000299999999,2155700,,,232.169998,764645,48.68,1175800,24.25,5278600,1,3,0,9.722496,8.2566824,9.2650232,.0038022995,,,3,1662.6802,7.4161863,
04jan2023,04jan2023,16680.205078,18421743322,3840.360107,4414080000,10467.820313,5085380000,135.990005,11687600,33.900002,41998500,42.259998,18943600,46.540001,21507200,348.029999,1881000,85.55000299999999,7726800,45.110001,16338400,161.600006,2107600,44.119999,8611400,94.55999799999999,3177500,33.040001,5727800,17.84,8698800,21.799999,7857300,14.25,12374200,146.600006,1071000,98.55999799999999,3209100,,,230.100006,854687,49.080002,1689000,24.940001,6177200,1,4,0,9.7219782,8.2533216,9.2560616,-.00051784515,-.0033607483,-.0089616776,4,1673.87,7.4228935,.0067071915
05jan2023,05jan2023,16863.472656,13692758566,3839.73999,3893450000,10390.30957,4764270000,135.660004,8381300,33.919998,34177000,42.580002,12380700,46.700001,12314900,344.25,1397800,85.900002,5339900,45.860001,8364000,160.960007,2173900,44.139999,7688700,92.5,3406400,33.34,5021300,17.940001,8867400,21.73,5704400,14.27,11069800,146.179993,1175800,100.239998,2477800,,,235.710007,985262,49.740002,867800,24.32,5281200,1,5,0,9.7329054,8.2531595,9.2486286,.0109272,-.00016212463,-.0074329376,5,1675.9398,7.4241295,.0012359619
06jan2023,06jan2023,16836.472656,14413662913,3823.370117,3923560000,10363.959961,5199780000,136.130005,10029100,34.09,34068700,42.59,15247000,47.060001,16736300,347.299988,3097800,86.44000199999999,5710900,46,8198300,162.5,2250100,44.369999,5326200,94.31999999999999,3668600,33.439999,7190500,17.959999,8378400,21.809999,5829400,14.34,12433600,147.490005,1269400,99.58000199999999,2212600,,,237.119995,1017532,49.830002,1363700,25.25,6249600,1,6,0,9.7313032,8.248888,9.2460899,-.0016021729,-.0042715073,-.002538681,6,1687.6198,7.4310746,.0069451332
07jan2023,07jan2023,16952.117188,7714767174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,9.7381477,,,.0068445206,,,7,,,
08jan2023,08jan2023,16954.146484,9768827914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,9.7382679,,,.00012016296,,,8,,,
09jan2023,09jan2023,17093.992188,18624736866,3910.820068,4311770000,10662.099609,5132190000,138.600006,8482300,34.75,43818800,43.119999,21225600,47.889999,16745500,351.880005,1989000,88.25,5039700,46.41,13170700,164.949997,2473700,46.240002,8979000,97.839996,4384000,34.630001,3607400,18.32,8958600,22.290001,6034100,14.63,12233800,150.190002,1148600,103.910004,2551200,,,247.960007,1102929,51.630001,902700,26.540001,8136000,1,9,0,9.7464819,8.2715025,9.2744503,.0082139969,,,9,1730.0299,7.455894,
10jan2023,10jan2023,17192.949219,15808338949,3888.570068,3851030000,10607.719727,4710680000,137.789993,9048700,33.740002,35096000,42.669998,18348800,47.560001,12429900,352.640015,1610100,87.55000299999999,4536600,46.75,13631800,163.490005,2139900,45.849998,8294700,96.599998,3196000,34.279999,2802900,18.190001,6681400,21.91,5741000,14.41,9339200,149.220001,1400500,103.809998,2203600,,,246.460007,547669,50.889999,878800,25.799999,5002000,1,10,0,9.7522545,8.2657967,9.2693377,.0057725906,-.0057058334,-.005112648,10,1719.6101,7.4498529,-.00604105
11jan2023,11jan2023,17446.359375,18372283782,3932.350098,4303360000,10794.990234,5284390000,138.899994,8703700,34.119999,36783700,42.380001,18272100,48.209999,17143700,358.869995,2127000,89.370003,6122600,46.91,8704900,165.119995,3197900,46.330002,10156000,99.230003,4095000,34.740002,5001400,18.219999,8601500,22.1,6590500,14.48,11205900,148.779999,1062900,105.510002,2633800,,,255.309998,745718,51.290001,697500,26.940001,7420700,1,11,0,9.7668867,8.2769928,9.2868376,.014632225,.011196136,.017499924,11,1746.8099,7.4655466,.015693665
12jan2023,12jan2023,18117.59375,34971338710,3977.570068,4440260000,10969.259766,5681240000,140,11001700,34.599998,44230400,43.049999,20940400,49.060001,16287800,366.23999,2103100,90.01999699999999,7895600,47.450001,8934000,167,2169700,46.759998,6183000,102.620003,2581700,34.459999,4210200,18.440001,9545600,22.290001,5318800,14.6,10520600,150.309998,1052100,108.150002,2006800,,,259.190002,843449,51.580002,1295200,27.440001,7257400,1,12,0,9.8046389,8.2884264,9.3028517,.037752151,.011433601,.016014099,12,1773.2599,7.4805751,.015028477
13jan2023,13jan2023,18868.90625,29225029694,3960.600098,3939700000,10906.370117,5077990000,135.600006,20200000,34.200001,89667800,41.380001,41649700,48.509998,28037000,363.48999,3310200,89.02999899999999,8414600,46.869999,8150600,164.75,4379400,46.709999,8241600,99.410004,3229300,34.330002,4618800,18.040001,11329400,22,9809000,14.49,18410700,147.669998,1413300,104.110001,1737200,,,248.059998,1100337,50.68,1018700,26.59,4446200,1,13,0,9.8452711,8.2841511,9.297102,.040632248,-.004275322,-.0057497025,13,1735.9202,7.4592929,-.021282196
14jan2023,14jan2023,19910.537109,38967784639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,0,9.899004,,,.053732872,,,14,,,
15jan2023,15jan2023,20977.484375,19298407543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,0,9.9512053,,,.052201271,,,15,,,
